class_of_data,RGB code (1),RGB code (2),RGB code (3),RGB code (4),RGB code (5)
energy_cap,R:2 G:84 B:128,R:58 G:127 B:173,R:108 G:171 B:221,R:156 G:197 B:231,R:206 G:226 B:240
energy_prod,R:215 G:147 B:42,R:225 G:168 B:37,R:236 G:191 B:72,R:245 G:215 B:121,R:255 G:238 B:164
energy_cons,R:156 G:49 B:33,R:181 G:71 B:58,R:205 G:97 B:89,R:228 G:126 B:124,R:246 G:162 B:164
energy_dem,R:71 G:43 B:22,R:106 G:70 B:37,R:148 G:110 B:77,R:195 G:155 B:124,R:223 G:187 B:155
socio_economic,R:143 G:48 B:131,R:159 G:74 B:154,R:180 G:114 B:174,R:196 G:147 B:194,R:225 G:199 B:224
environmental,R:212 G:109 B:32,R:235 G:134 B:39 ,R:237 G:151 B:76,R:241 G:169 B:109,R:242 G:187 B:140
biomass,R:28 G:91 B:46,R:73 G:116 B:65,R:116 G:144 B:96,R:160 G:180 B:133,R:206 G:223 B:181
buildings,R:76 G:49 B:114,R:102 G:62 B:144,R:128 G:103 B:168,R:155 G:145 B:195,R:189 G:191 B:221
